RecordId	Clusternum
3	0
70	0
72	0
73	0
105	0
11	0
43	0
108	0
12	0
109	0
141	0
46	0
144	0
115	0
125	0
126	0
128	0
1	1
101	1
95	1
5	2
6	2
121	2
32	2
4	3
13	3
71	4
39	4
76	4
82	5
52	5
45	5
81	6
30	6
15	6
113	7
19	7
123	7
107	7
110	7
16	7
75	8
59	8
83	9
84	9
9	9
120	10
91	10
112	10
96	10
145	11
34	11
98	11
67	11
85	11
86	11
23	11
8	11
88	11
60	11
127	11
49	12
14	12
47	12
48	12
57	13
77	13
146	14
69	14
22	14
40	14
24	14
90	14
92	14
29	14
103	15
28	15
109	15
18	16
31	16
17	17
97	17
100	17
25	17
142	17
78	17
143	17
37	18
21	18
87	18
27	18
65	19
54	19
2	20
136	20
138	20
140	20
122	21
124	21
126	21
50	22
131	22
132	22
36	22
111	22
56	23
89	23
42	23
7	24
58	24
10	25
61	25
93	25
63	25
53	26
69	26
66	27
99	27
68	27
55	27
20	28
44	28
62	28
79	29
80	29
33	30
130	30
114	30
51	30
102	30
104	30
26	30
106	30
64	30
35	31
38	31
134	31
139	31
129	32
133	32
135	32
137	32
74	32
116	33
117	33
118	33
119	33
41	34
94	34
