RecordId	Clusternum
65	0
2	0
24	0
105	0
30	0
31	0
1	1
178	1
148	1
55	1
141	1
110	1
51	2
99	2
181	2
183	2
43	2
172	2
13	2
128	2
52	3
10	3
146	4
114	4
41	4
20	5
184	5
173	5
33	6
147	6
21	6
126	6
186	7
79	7
160	7
179	8
115	8
153	9
138	9
164	10
139	10
149	11
37	11
142	11
39	12
60	12
3	13
78	13
64	13
18	14
136	14
158	14
168	15
121	15
58	15
171	15
27	15
93	15
29	15
111	15
131	16
4	16
63	16
53	17
5	17
7	18
23	18
57	18
175	18
12	19
61	19
161	20
143	20
177	21
132	21
84	21
9	21
66	22
47	22
68	23
85	23
118	23
54	23
87	23
106	23
28	23
94	23
113	24
116	24
72	24
151	25
122	25
80	25
97	26
38	26
40	26
125	26
45	26
129	27
69	27
70	27
74	27
133	28
170	28
176	28
19	29
36	29
135	29
56	29
157	29
109	29
162	30
101	30
25	30
26	30
107	30
144	30
96	30
83	31
76	31
34	32
166	32
102	33
59	33
127	33
15	33
49	34
167	34
91	34
92	34
48	34
81	35
182	35
32	35
137	36
123	36
8	37
46	37
117	38
73	38
154	38
11	38
155	38
62	38
82	39
180	39
150	40
119	40
185	40
169	40
77	40
145	41
6	41
42	41
67	42
152	42
134	43
16	43
86	44
156	44
159	44
17	45
89	45
108	45
165	46
120	46
124	46
112	46
130	47
98	47
163	47
35	47
100	47
75	47
140	47
95	47
50	48
22	48
14	48
103	49
71	49
104	49
88	49
90	49
44	49
174	49
