@relation MyTestRelation

@attribute class {joy,trust,vigour,anger,confusion,fear,anticipation,depression,surprise,fatigue,tension,disgust}			
@attribute tweetcontent string

@data
joy,'Back in Bangalore and back to work. #thegrindneverstops https://t.co/Tu5uFHexmi'
joy,'The real spirit of courage was displayed off-screen when #Kesari rose from the ashes. https://t.co/dTphjVf9hg\n\n@ParineetiChopra @SinghAnurag79 @karanjohar @apoorvamehta18 @SunirKheterpal @DharmaMovies #CapeOfGoodFilms @iAmAzure @ZeeStudios_'
joy,'Best day off ever!!! @nickjonas @joejonas @SophieT #JSisters ????? https://t.co/0N5DylobuD'
joy,'When the crew looks this good ????\n\n@SophieT @nickjonas @joejonas @kevinjonas @chasefoster @MDeleasaChile https://t.co/ki2zgOaOMp'
trust,'T 3131 - Earth Hour , INDIA .. Saturday 30th March 2019 ..  8.30 pm to 9.30 pm ! Switch OFF non essential lights ! Join the \'Bee4ThePlanet\' challenge on social media !?\nI did last year .. I will this year too !!'
joy,'please please please .. its a great story !!??????? https://t.co/RVckBziCB4'
joy,'At such a young age, your brother is thinking about cleanliness and patriotism. Remarkable! https://t.co/M2U4VRMNKm'
vigour,'Absolutely! \n\nA strong Government can ensure a developed India. https://t.co/jIKzVfeJ2C'
joy,'Glad you liked it. https://t.co/ld2GJZGDQM'
joy,'Appreciable effort! https://t.co/W1b9qxrdV3'
joy,'Birthday wishes to my valued Cabinet colleague @ChBirenderSingh Ji. \n\nBirender Ji is a veteran leader whose experience is an asset for the BJP and Central Government. His passion for farmer welfare and work in the steel sector is noteworthy. Praying for his long and healthy life.'
trust,'Voting isn’t just about making a choice it’s about being responsible and being sensitive. Please earn your democracy. Please vote this time. https://t.co/ZyNd4bv0Om'
joy,'Channelled my inner @Oprah and chatted with three incredibly inspiring women! Cannot wait to share their stories with you in my new @YouTube special If I Could Tell You Just One Thing out March, 27th \n#JustOneThing \n\nhttps://t.co/xIRgIrE3do https://t.co/uMvH35NqBk'
trust,'Noted athletes @HimaDas8, @DipaKarmakar and @SakshiMalik, \n\nIndia is proud of you and you inspire many others youngsters. \n\nNow, it is time to inspire greater voter awareness and participation, especially among youngsters. #VoteKar'
joy,'If you are undertaking any innovative voter awareness campaign, do share details using #VoteKar. \n\nTogether, we will ensure maximum Indians exercise their franchise.'
joy,'I call upon @itsSSR, @TheAaryanKartik and @kritisanon to help increase voter awareness. You are the younger generation that is taking Indian cinema places. \n\nThe power of youth will also strengthen our democracy. \n\nTell everyone- #VoteKar'
joy,'A request to @ektaravikapoor, @ParineetiChopra and @SidMalhotra- As prominent Indians whose achievements are much admired, your voice has immense reach. \n\nI appeal to you to raise voter awareness and strengthen democracy. #VoteKar'
joy,'Newspapers are a fantastic way to reaffirm the vitality of voting. \n\nThat is why, I request the teams of @manoramaonline, @AmarUjalaNews and Sakal Media Group to motivate more people to exercise their franchise through innovative voter awareness campaigns. #VoteKar'
joy,'Participative democracy can be furthered through high voter turnout. \n\nI urge @MiLOKMAT, @NavbharatTimes and @punjabkesari to increase vote awareness and turnout. \n\nTheir doing so would strengthen our polity. #VoteKar'
joy,'I would request @TVMohandasPai, @ShekharGupta, @DrSYQuraishi and @punitgoenka to highlight the importance of high voter turnout, especially among youngsters. \n\nThe words of these individuals will surely bring more people to the polling booth. #VoteKar'
joy,'Dear @imbhandarkar, @vivekagnihotri and @RajkummarRao, \n\nYour work in the cinema industry has touched upon interesting and innovative themes. Your words and actions matter. \n\nI request you to increase voter awareness and motivate youth to vote in large numbers. #VoteKar'
